Park.Code,Park.Name,Category,Category.Sort,Order,Family,Taxon.Code,TSN,Taxon.Record.Status,Scientific.Name,Common.Name,Synonyms,Occurrence
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Gray Fox,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Felidae,115336,203547,Active,Felis rufus,Bobcat,Lynx rufus,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Spotted Skunk,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,Badger,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Raccoon,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,Western Mastiff Bat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Molossidae,89607,180085,Active,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,,Probably Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Mexican Free-tailed Bat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,Red Bat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California Myotis,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,Long-eared Myotis,,Probably Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,Small-footed Myotis,,Probably Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Probably Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Probably Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,Western Pipistrelle,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,106783,202345,Active,Plecotus townsendii townsendii,Townsend's big-eared bat,,Probably Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,Black-tailed Jack Rabbit,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,Desert Cottontail,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89650,180123,Active,Sylvilagus bachmani,Brush Rabbit,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91695,180305,Active,Microtus californicus,California Vole,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91770,180373,Active,Neotoma fuscipes,Dusky-footed Woodrat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91771,180374,Active,Neotoma lepida,Desert Woodrat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,Brush Mouse,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90751,180283,Active,Peromyscus californicus,California Mouse,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90754,180286,Active,Peromyscus eremicus,Cactus Mouse,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Deer Mouse,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,Pinon Mouse,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's Pocket Gopher,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Heteromyidae,90696,180233,Active,Dipodomys agilis,Pacific Kangaroo Rat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Heteromyidae,90723,180258,Active,Perognathus californicus,California pocket mouse,Chaetodipus californicus,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,Norway Rat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Muridae,91758,180362,Active,Rattus rattus,Black Rat,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Sciuridae,89708,180176,Active,Sciurus griseus,Western Gray Squirrel,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Sciuridae,89704,180172,Active,Sciurus niger,Fox Squirrel,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Sciuridae,89677,180148,Active,Spermophilus beecheyi,California Ground Squirrel,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Sciuridae,90652,180194,Active,Tamias merriami,Merriam's chipmunk,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Soricomorpha,Soricidae,88690,179973,Active,Notiosorex crawfordi,Desert Shrew,,Present
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Soricomorpha,Soricidae,88667,179952,Active,Sorex ornatus,Ornate Shrew,,Present
