Park.code,Park.name,Category,Category.sort,Order,Family,Taxon.code,TSN,Taxon.record.status,Scientific.Name,Common.name,Synonyms,Occurrence
WEFA,Weir Farm National Historic Site,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
WEFA,Weir Farm National Historic Site,Mammal,1,Rodentia,Sciuridae,89665,180137,Active,Marmota monax,woodchuck,,Present
WEFA,Weir Farm National Historic Site,Mammal,1,Rodentia,Sciuridae,89707,180175,Active,Sciurus carolinensis,gray squirrel,,Present
WEFA,Weir Farm National Historic Site,Mammal,1,Rodentia,Sciuridae,90667,180207,Active,Tamias striatus,eastern chipmunk,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Accipitriformes,Accipitridae,79572,175359,Active,Buteo lineatus,Red-shouldered Hawk,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Accipitriformes,Accipitridae,79579,175365,Active,Buteo platypterus,Broad-winged Hawk,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Anseriformes,Anatidae,77836,175122,Active,Aix sponsa,Wood Duck,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Anseriformes,Anatidae,76625,174999,Active,Branta canadensis,Canada Goose,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Apodiformes,Apodidae,83046,178001,Active,Chaetura pelagica,Chimney Swift,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Apodiformes,Trochilidae,83884,178032,Active,Archilochus colubris,Ruby-throated Hummingbird,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Caprimulgiformes,Caprimulgidae,83019,177979,Active,Chordeiles minor,common nighthawk,,Probably Present
WEFA,Weir Farm National Historic Site,Bird,2,Charadriiformes,Scolopacidae,79181,176576,Active,Philohela minor,,,Probably Present
WEFA,Weir Farm National Historic Site,Bird,2,Coraciiformes,Alcedinidae,83980,178119,Active,Ceryle alcyon,Belted Kingfisher,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Cuculiformes,Cuculidae,89102,177831,Active,Coccyzus americanus,Yellow-billed Cuckoo,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Galliformes,Phasianidae,86451,176136,Active,Meleagris gallopavo,Wild Turkey,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Bombycillidae,88296,178532,Active,Bombycilla cedrorum,Cedar Waxwing,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Cardinalidae,88071,179883,Active,Piranga olivacea,Scarlet Tanager,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Certhiidae,90967,178803,Active,Certhia americana,Brown Creeper,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Emberizidae,83846,179314,Active,Passerculus sandwichensis,Savannah Sparrow,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Emberizidae,84781,179435,Active,Spizella passerina,Chipping Sparrow,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Fringillidae,95286,179236,Active,Carduelis tristis,American Goldfinch,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Fringillidae,94302,179191,Active,Carpodacus mexicanus,House Finch,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Hirundinidae,87409,178448,Active,Hirundo rustica,barn swallow,,Probably Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Hirundinidae,87394,178434,Active,Iridoprocne bicolor,,,Probably Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Icteridae,93613,179045,Active,Agelaius phoeniceus,Red-winged Blackbird,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Icteridae,93655,179083,Active,Icterus galbula,Baltimore Oriole,,
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Mimidae,88394,178620,Active,Mimus polyglottos,Northern Mockingbird,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Parulidae,92645,178888,Active,Dendroica caerulescens,Black-throated Blue Warbler,,Present
WEFA,Weir Farm National Historic Site,Bird,2,Passeriformes,Parulidae,92643,178886,Active,Dendroica magnolia,Magnolia Warbler,,Present
